LOG_TIMESTAMP,SPS.T2:INTENSITY,XTIM.SX.WE-CT:Acquisition:acqC,UTC_DATE,CEST_DATE
1728178114.59,3149371600000.0,4455.0,2024-10-06 01:28:34.589999872+00:00,2024-10-06 03:28:34.589999872+02:00
1728178128.99,3160852200000.0,4455.0,2024-10-06 01:28:48.990000128+00:00,2024-10-06 03:28:48.990000128+02:00
1728178143.3899999,3178198800000.0,4455.0,2024-10-06 01:29:03.389999872+00:00,2024-10-06 03:29:03.389999872+02:00
1728178157.79,3140740200000.0,4455.0,2024-10-06 01:29:17.789999872+00:00,2024-10-06 03:29:17.789999872+02:00
1728178172.1899998,3251607600000.0,4455.0,2024-10-06 01:29:32.189999872+00:00,2024-10-06 03:29:32.189999872+02:00
1728178186.59,3145684400000.0,4455.0,2024-10-06 01:29:46.589999872+00:00,2024-10-06 03:29:46.589999872+02:00
1728178200.99,3175098200000.0,4455.0,2024-10-06 01:30:00.990000128+00:00,2024-10-06 03:30:00.990000128+02:00
1728178215.3899999,2171760800000.0,4455.0,2024-10-06 01:30:15.389999872+00:00,2024-10-06 03:30:15.389999872+02:00
1728178229.79,3164790800000.0,4455.0,2024-10-06 01:30:29.789999872+00:00,2024-10-06 03:30:29.789999872+02:00
1728178244.1899998,3187752000000.0,4455.0,2024-10-06 01:30:44.189999872+00:00,2024-10-06 03:30:44.189999872+02:00
1728178258.59,3168813200000.0,4455.0,2024-10-06 01:30:58.589999872+00:00,2024-10-06 03:30:58.589999872+02:00
1728178272.99,2660733800000.0,4455.0,2024-10-06 01:31:12.990000128+00:00,2024-10-06 03:31:12.990000128+02:00
1728178287.3899999,3152807400000.0,4455.0,2024-10-06 01:31:27.389999872+00:00,2024-10-06 03:31:27.389999872+02:00
1728178301.79,3175852400000.0,4455.0,2024-10-06 01:31:41.789999872+00:00,2024-10-06 03:31:41.789999872+02:00
1728178316.1899998,3200741000000.0,4455.0,2024-10-06 01:31:56.189999872+00:00,2024-10-06 03:31:56.189999872+02:00
1728178330.59,3201495200000.0,4455.0,2024-10-06 01:32:10.589999872+00:00,2024-10-06 03:32:10.589999872+02:00
1728178344.99,3179036800000.0,4455.0,2024-10-06 01:32:24.990000128+00:00,2024-10-06 03:32:24.990000128+02:00
