LOG_TIMESTAMP,XTIM.SX.WE-CT:Acquisition:acqC,SPS.T2:INTENSITY,UTC_DATE,CEST_DATE
1729928771.79,4455,3232082200000.0,2024-10-26 07:46:11.789999962+00:00,2024-10-26 09:46:11.789999962+02:00
1729928786.1899998,4455,3291328800000.0,2024-10-26 07:46:26.189999819+00:00,2024-10-26 09:46:26.189999819+02:00
1729928800.59,4455,3217920000000.0,2024-10-26 07:46:40.589999914+00:00,2024-10-26 09:46:40.589999914+02:00
1729928814.99,4455,3212640600000.0,2024-10-26 07:46:54.990000010+00:00,2024-10-26 09:46:54.990000010+02:00
1729928829.3899999,4455,3195461600000.0,2024-10-26 07:47:09.389999866+00:00,2024-10-26 09:47:09.389999866+02:00
1729928843.79,4455,3215657400000.0,2024-10-26 07:47:23.789999962+00:00,2024-10-26 09:47:23.789999962+02:00
1729928858.1899998,4455,3207528800000.0,2024-10-26 07:47:38.189999819+00:00,2024-10-26 09:47:38.189999819+02:00
1729928872.59,4455,3209456200000.0,2024-10-26 07:47:52.589999914+00:00,2024-10-26 09:47:52.589999914+02:00
1729928886.99,4455,3203674000000.0,2024-10-26 07:48:06.990000010+00:00,2024-10-26 09:48:06.990000010+02:00
1729928901.3899999,4455,3197053800000.0,2024-10-26 07:48:21.389999866+00:00,2024-10-26 09:48:21.389999866+02:00
1729928915.79,4455,3189344200000.0,2024-10-26 07:48:35.789999962+00:00,2024-10-26 09:48:35.789999962+02:00
1729928930.1899998,4455,3202752200000.0,2024-10-26 07:48:50.189999819+00:00,2024-10-26 09:48:50.189999819+02:00
1729928944.59,4455,3214149000000.0,2024-10-26 07:49:04.589999914+00:00,2024-10-26 09:49:04.589999914+02:00
1729928958.99,4455,3224372600000.0,2024-10-26 07:49:18.990000010+00:00,2024-10-26 09:49:18.990000010+02:00
1729928973.3899999,4455,3256300400000.0,2024-10-26 07:49:33.389999866+00:00,2024-10-26 09:49:33.389999866+02:00
1729928987.79,4455,3238786200000.0,2024-10-26 07:49:47.789999962+00:00,2024-10-26 09:49:47.789999962+02:00
