LOG_TIMESTAMP,SPS.T2:INTENSITY,XTIM.SX.WE-CT:Acquisition:acqC,UTC_DATE,CEST_DATE
1728063370.59,3238953800000.0,4455,2024-10-04 17:36:10.589999872+00:00,2024-10-04 19:36:10.589999872+02:00
1728063384.99,3165712600000.0,4455,2024-10-04 17:36:24.990000128+00:00,2024-10-04 19:36:24.990000128+02:00
1728063399.3899999,3114594600000.0,4455,2024-10-04 17:36:39.389999872+00:00,2024-10-04 19:36:39.389999872+02:00
1728063413.79,3137723400000.0,4455,2024-10-04 17:36:53.789999872+00:00,2024-10-04 19:36:53.789999872+02:00
1728063428.1899998,3130432800000.0,4455,2024-10-04 17:37:08.189999872+00:00,2024-10-04 19:37:08.189999872+02:00
1728063442.59,3111577800000.0,4455,2024-10-04 17:37:22.589999872+00:00,2024-10-04 19:37:22.589999872+02:00
1728063456.99,3204595800000.0,4455,2024-10-04 17:37:36.990000128+00:00,2024-10-04 19:37:36.990000128+02:00
1728063471.3899999,3190517400000.0,4455,2024-10-04 17:37:51.389999872+00:00,2024-10-04 19:37:51.389999872+02:00
1728063485.79,3094817800000.0,4455,2024-10-04 17:38:05.789999872+00:00,2024-10-04 19:38:05.789999872+02:00
1728063500.1899998,3207445000000.0,4455,2024-10-04 17:38:20.189999872+00:00,2024-10-04 19:38:20.189999872+02:00
1728063514.59,3167304800000.0,4455,2024-10-04 17:38:34.589999872+00:00,2024-10-04 19:38:34.589999872+02:00
1728063528.99,3136717800000.0,4455,2024-10-04 17:38:48.990000128+00:00,2024-10-04 19:38:48.990000128+02:00
1728063543.3899999,3172919400000.0,4455,2024-10-04 17:39:03.389999872+00:00,2024-10-04 19:39:03.389999872+02:00
1728063557.79,3142081000000.0,4455,2024-10-04 17:39:17.789999872+00:00,2024-10-04 19:39:17.789999872+02:00
1728063572.1899998,3121466200000.0,4455,2024-10-04 17:39:32.189999872+00:00,2024-10-04 19:39:32.189999872+02:00
1728063586.59,3141494400000.0,4455,2024-10-04 17:39:46.589999872+00:00,2024-10-04 19:39:46.589999872+02:00
1728063600.99,3148366000000.0,4455,2024-10-04 17:40:00.990000128+00:00,2024-10-04 19:40:00.990000128+02:00
1728063615.3899999,3158170600000.0,4455,2024-10-04 17:40:15.389999872+00:00,2024-10-04 19:40:15.389999872+02:00
1728063629.79,3211299800000.0,4455,2024-10-04 17:40:29.789999872+00:00,2024-10-04 19:40:29.789999872+02:00
1728063644.1899998,3147025200000.0,4455,2024-10-04 17:40:44.189999872+00:00,2024-10-04 19:40:44.189999872+02:00
1728063658.59,3090376400000.0,4455,2024-10-04 17:40:58.589999872+00:00,2024-10-04 19:40:58.589999872+02:00
1728063672.99,3341525000000.0,4455,2024-10-04 17:41:12.990000128+00:00,2024-10-04 19:41:12.990000128+02:00
1728063687.3899999,3150377200000.0,4455,2024-10-04 17:41:27.389999872+00:00,2024-10-04 19:41:27.389999872+02:00
1728063701.79,3127499800000.0,4455,2024-10-04 17:41:41.789999872+00:00,2024-10-04 19:41:41.789999872+02:00
1728063716.1899998,3160936000000.0,4455,2024-10-04 17:41:56.189999872+00:00,2024-10-04 19:41:56.189999872+02:00
1728063730.59,3191523000000.0,4455,2024-10-04 17:42:10.589999872+00:00,2024-10-04 19:42:10.589999872+02:00
1728063744.99,3164371800000.0,4455,2024-10-04 17:42:24.990000128+00:00,2024-10-04 19:42:24.990000128+02:00
1728063759.3899999,3174092600000.0,4455,2024-10-04 17:42:39.389999872+00:00,2024-10-04 19:42:39.389999872+02:00
1728063773.79,3200154400000.0,4455,2024-10-04 17:42:53.789999872+00:00,2024-10-04 19:42:53.789999872+02:00
