LOG_TIMESTAMP,XTIM.SX.WE-CT:Acquisition:acqC,SPS.T2:INTENSITY,UTC_DATE,CEST_DATE
1728681023.79,4455,2984620800000.0,2024-10-11 21:10:23.789999962+00:00,2024-10-11 23:10:23.789999962+02:00
1728681057.3899999,4455,2945653800000.0,2024-10-11 21:10:57.389999866+00:00,2024-10-11 23:10:57.389999866+02:00
1728681090.99,4455,3007498200000.0,2024-10-11 21:11:30.990000010+00:00,2024-10-11 23:11:30.990000010+02:00
1728681124.59,4455,2939285000000.0,2024-10-11 21:12:04.589999914+00:00,2024-10-11 23:12:04.589999914+02:00
1728681158.1899998,4455,2943810200000.0,2024-10-11 21:12:38.189999819+00:00,2024-10-11 23:12:38.189999819+02:00
1728681191.79,4455,2976827400000.0,2024-10-11 21:13:11.789999962+00:00,2024-10-11 23:13:11.789999962+02:00
1728681225.3899999,4455,3020235800000.0,2024-10-11 21:13:45.389999866+00:00,2024-10-11 23:13:45.389999866+02:00
1728681258.99,4455,2958559000000.0,2024-10-11 21:14:18.990000010+00:00,2024-10-11 23:14:18.990000010+02:00
1728681292.59,4455,2968447400000.0,2024-10-11 21:14:52.589999914+00:00,2024-10-11 23:14:52.589999914+02:00
1728681326.1899998,4455,2986380600000.0,2024-10-11 21:15:26.189999819+00:00,2024-10-11 23:15:26.189999819+02:00
1728681359.79,4455,2980430800000.0,2024-10-11 21:15:59.789999962+00:00,2024-10-11 23:15:59.789999962+02:00
1728681393.3899999,4455,2987134800000.0,2024-10-11 21:16:33.389999866+00:00,2024-10-11 23:16:33.389999866+02:00
1728681426.99,4455,2945067200000.0,2024-10-11 21:17:06.990000010+00:00,2024-10-11 23:17:06.990000010+02:00
1728681460.59,4455,2987805200000.0,2024-10-11 21:17:40.589999914+00:00,2024-10-11 23:17:40.589999914+02:00
1728681494.1899998,4455,2970877600000.0,2024-10-11 21:18:14.189999819+00:00,2024-10-11 23:18:14.189999819+02:00
1728681527.79,4455,2954117600000.0,2024-10-11 21:18:47.789999962+00:00,2024-10-11 23:18:47.789999962+02:00
1728681561.3899999,4455,2956883000000.0,2024-10-11 21:19:21.389999866+00:00,2024-10-11 23:19:21.389999866+02:00
1728681594.99,4455,2961827200000.0,2024-10-11 21:19:54.990000010+00:00,2024-10-11 23:19:54.990000010+02:00
1728681628.59,4455,2987470000000.0,2024-10-11 21:20:28.589999914+00:00,2024-10-11 23:20:28.589999914+02:00
1728681662.1899998,4455,2970877600000.0,2024-10-11 21:21:02.189999819+00:00,2024-10-11 23:21:02.189999819+02:00
1728681695.79,4455,2931659200000.0,2024-10-11 21:21:35.789999962+00:00,2024-10-11 23:21:35.789999962+02:00
1728681729.3899999,4455,2961240600000.0,2024-10-11 21:22:09.389999866+00:00,2024-10-11 23:22:09.389999866+02:00
1728681762.99,4455,2907441000000.0,2024-10-11 21:22:42.990000010+00:00,2024-10-11 23:22:42.990000010+02:00
1728681796.59,4455,2929229000000.0,2024-10-11 21:23:16.589999914+00:00,2024-10-11 23:23:16.589999914+02:00
1728681830.1899998,4455,2982944800000.0,2024-10-11 21:23:50.189999819+00:00,2024-10-11 23:23:50.189999819+02:00
1728681863.79,4455,2944396800000.0,2024-10-11 21:24:23.789999962+00:00,2024-10-11 23:24:23.789999962+02:00
1728681897.3899999,4455,2928810000000.0,2024-10-11 21:24:57.389999866+00:00,2024-10-11 23:24:57.389999866+02:00
1728681930.99,4455,2991157200000.0,2024-10-11 21:25:30.990000010+00:00,2024-10-11 23:25:30.990000010+02:00
1728681964.59,4455,2939536400000.0,2024-10-11 21:26:04.589999914+00:00,2024-10-11 23:26:04.589999914+02:00
1728681998.1899998,4455,2984034200000.0,2024-10-11 21:26:38.189999819+00:00,2024-10-11 23:26:38.189999819+02:00
