LOG_TIMESTAMP,XTIM.SX.WE-CT:Acquisition:acqC,SPS.T2:INTENSITY,UTC_DATE,CEST_DATE
1729184645.79,4455,0.0,2024-10-17 17:04:05.789999962+00:00,2024-10-17 19:04:05.789999962+02:00
1729184660.1899998,4455,0.0,2024-10-17 17:04:20.189999819+00:00,2024-10-17 19:04:20.189999819+02:00
1729184674.59,4455,1173200000.0,2024-10-17 17:04:34.589999914+00:00,2024-10-17 19:04:34.589999914+02:00
1729184688.99,4455,0.0,2024-10-17 17:04:48.990000010+00:00,2024-10-17 19:04:48.990000010+02:00
1729184703.3899999,4455,0.0,2024-10-17 17:05:03.389999866+00:00,2024-10-17 19:05:03.389999866+02:00
1729184717.79,4455,0.0,2024-10-17 17:05:17.789999962+00:00,2024-10-17 19:05:17.789999962+02:00
1729184732.1899998,4455,0.0,2024-10-17 17:05:32.189999819+00:00,2024-10-17 19:05:32.189999819+02:00
1729184746.59,4455,0.0,2024-10-17 17:05:46.589999914+00:00,2024-10-17 19:05:46.589999914+02:00
1729184760.99,4455,0.0,2024-10-17 17:06:00.990000010+00:00,2024-10-17 19:06:00.990000010+02:00
1729184775.3899999,4455,0.0,2024-10-17 17:06:15.389999866+00:00,2024-10-17 19:06:15.389999866+02:00
1729184789.79,4455,0.0,2024-10-17 17:06:29.789999962+00:00,2024-10-17 19:06:29.789999962+02:00
1729184804.1899998,4455,0.0,2024-10-17 17:06:44.189999819+00:00,2024-10-17 19:06:44.189999819+02:00
1729184818.59,4455,1340800000.0,2024-10-17 17:06:58.589999914+00:00,2024-10-17 19:06:58.589999914+02:00
1729184832.99,4455,4692800000.0,2024-10-17 17:07:12.990000010+00:00,2024-10-17 19:07:12.990000010+02:00
1729184847.3899999,4455,0.0,2024-10-17 17:07:27.389999866+00:00,2024-10-17 19:07:27.389999866+02:00
1729184861.79,4455,2681600000.0,2024-10-17 17:07:41.789999962+00:00,2024-10-17 19:07:41.789999962+02:00
1729184876.1899998,4455,0.0,2024-10-17 17:07:56.189999819+00:00,2024-10-17 19:07:56.189999819+02:00
1729184890.59,4455,0.0,2024-10-17 17:08:10.589999914+00:00,2024-10-17 19:08:10.589999914+02:00
1729184904.99,4455,3184400000.0,2024-10-17 17:08:24.990000010+00:00,2024-10-17 19:08:24.990000010+02:00
1729184919.3899999,4455,0.0,2024-10-17 17:08:39.389999866+00:00,2024-10-17 19:08:39.389999866+02:00
1729184933.79,4455,0.0,2024-10-17 17:08:53.789999962+00:00,2024-10-17 19:08:53.789999962+02:00
1729184948.1899998,4455,1508400000.0,2024-10-17 17:09:08.189999819+00:00,2024-10-17 19:09:08.189999819+02:00
1729184962.59,4455,1089400000.0,2024-10-17 17:09:22.589999914+00:00,2024-10-17 19:09:22.589999914+02:00
1729184976.99,4455,0.0,2024-10-17 17:09:36.990000010+00:00,2024-10-17 19:09:36.990000010+02:00
1729184991.3899999,4455,3771000000.0,2024-10-17 17:09:51.389999866+00:00,2024-10-17 19:09:51.389999866+02:00
1729185005.79,4455,0.0,2024-10-17 17:10:05.789999962+00:00,2024-10-17 19:10:05.789999962+02:00
1729185020.1899998,4455,2430200000.0,2024-10-17 17:10:20.189999819+00:00,2024-10-17 19:10:20.189999819+02:00
1729185034.59,4455,2765400000.0,2024-10-17 17:10:34.589999914+00:00,2024-10-17 19:10:34.589999914+02:00
1729185048.99,4455,0.0,2024-10-17 17:10:48.990000010+00:00,2024-10-17 19:10:48.990000010+02:00
1729185063.3899999,4455,0.0,2024-10-17 17:11:03.389999866+00:00,2024-10-17 19:11:03.389999866+02:00
1729185077.79,4455,0.0,2024-10-17 17:11:17.789999962+00:00,2024-10-17 19:11:17.789999962+02:00
1729185092.1899998,4455,3184400000.0,2024-10-17 17:11:32.189999819+00:00,2024-10-17 19:11:32.189999819+02:00
1729185106.59,4455,0.0,2024-10-17 17:11:46.589999914+00:00,2024-10-17 19:11:46.589999914+02:00
1729185120.99,4455,2346400000.0,2024-10-17 17:12:00.990000010+00:00,2024-10-17 19:12:00.990000010+02:00
1729185135.3899999,4455,0.0,2024-10-17 17:12:15.389999866+00:00,2024-10-17 19:12:15.389999866+02:00
1729185149.79,4455,0.0,2024-10-17 17:12:29.789999962+00:00,2024-10-17 19:12:29.789999962+02:00
1729185164.1899998,4455,0.0,2024-10-17 17:12:44.189999819+00:00,2024-10-17 19:12:44.189999819+02:00
1729185178.59,4455,2011200000.0,2024-10-17 17:12:58.589999914+00:00,2024-10-17 19:12:58.589999914+02:00
1729185192.99,4455,1173200000.0,2024-10-17 17:13:12.990000010+00:00,2024-10-17 19:13:12.990000010+02:00
1729185207.3899999,4455,0.0,2024-10-17 17:13:27.389999866+00:00,2024-10-17 19:13:27.389999866+02:00
1729185221.79,4455,838000000.0,2024-10-17 17:13:41.789999962+00:00,2024-10-17 19:13:41.789999962+02:00
1729185236.1899998,4455,0.0,2024-10-17 17:13:56.189999819+00:00,2024-10-17 19:13:56.189999819+02:00
1729185250.59,4455,1592200000.0,2024-10-17 17:14:10.589999914+00:00,2024-10-17 19:14:10.589999914+02:00
1729185264.99,4455,0.0,2024-10-17 17:14:24.990000010+00:00,2024-10-17 19:14:24.990000010+02:00
