LOG_TIMESTAMP,XTIM.SX.WE-CT:Acquisition:acqC,SPS.T2:INTENSITY,UTC_DATE,CEST_DATE
1729270925.79,4455,3049984800000.0,2024-10-18 17:02:05.789999962+00:00,2024-10-18 19:02:05.789999962+02:00
1729270940.1899998,4455,3090795400000.0,2024-10-18 17:02:20.189999819+00:00,2024-10-18 19:02:20.189999819+02:00
1729270954.59,4455,3075711400000.0,2024-10-18 17:02:34.589999914+00:00,2024-10-18 19:02:34.589999914+02:00
1729270968.99,4455,3037666200000.0,2024-10-18 17:02:48.990000010+00:00,2024-10-18 19:02:48.990000010+02:00
1729270983.3899999,4455,3089035600000.0,2024-10-18 17:03:03.389999866+00:00,2024-10-18 19:03:03.389999866+02:00
1729270997.79,4455,2989732600000.0,2024-10-18 17:03:17.789999962+00:00,2024-10-18 19:03:17.789999962+02:00
1729271012.1899998,4455,3022498400000.0,2024-10-18 17:03:32.189999819+00:00,2024-10-18 19:03:32.189999819+02:00
1729271026.59,4455,3064901200000.0,2024-10-18 17:03:46.589999914+00:00,2024-10-18 19:03:46.589999914+02:00
1729271040.99,4455,3077806400000.0,2024-10-18 17:04:00.990000010+00:00,2024-10-18 19:04:00.990000010+02:00
1729271055.3899999,4455,3118030400000.0,2024-10-18 17:04:15.389999866+00:00,2024-10-18 19:04:15.389999866+02:00
1729271069.79,4455,3094482600000.0,2024-10-18 17:04:29.789999962+00:00,2024-10-18 19:04:29.789999962+02:00
1729271084.1899998,4455,3073867800000.0,2024-10-18 17:04:44.189999819+00:00,2024-10-18 19:04:44.189999819+02:00
1729271098.59,4455,3094315000000.0,2024-10-18 17:04:58.589999914+00:00,2024-10-18 19:04:58.589999914+02:00
1729271112.99,4455,3092303800000.0,2024-10-18 17:05:12.990000010+00:00,2024-10-18 19:05:12.990000010+02:00
1729271127.3899999,4455,3010096000000.0,2024-10-18 17:05:27.389999866+00:00,2024-10-18 19:05:27.389999866+02:00
1729271141.79,4455,3098002200000.0,2024-10-18 17:05:41.789999962+00:00,2024-10-18 19:05:41.789999962+02:00
1729271156.1899998,4455,3095739600000.0,2024-10-18 17:05:56.189999819+00:00,2024-10-18 19:05:56.189999819+02:00
1729271170.59,4455,3089706000000.0,2024-10-18 17:06:10.589999914+00:00,2024-10-18 19:06:10.589999914+02:00
1729271184.99,4455,2876435000000.0,2024-10-18 17:06:24.990000010+00:00,2024-10-18 19:06:24.990000010+02:00
1729271199.3899999,4455,3088868000000.0,2024-10-18 17:06:39.389999866+00:00,2024-10-18 19:06:39.389999866+02:00
1729271213.79,4455,3079733800000.0,2024-10-18 17:06:53.789999962+00:00,2024-10-18 19:06:53.789999962+02:00
1729271228.1899998,4455,3117192400000.0,2024-10-18 17:07:08.189999819+00:00,2024-10-18 19:07:08.189999819+02:00
1729271242.59,4455,3095572000000.0,2024-10-18 17:07:22.589999914+00:00,2024-10-18 19:07:22.589999914+02:00
1729271256.99,4455,3069845400000.0,2024-10-18 17:07:36.990000010+00:00,2024-10-18 19:07:36.990000010+02:00
1729271271.3899999,4455,3074705800000.0,2024-10-18 17:07:51.389999866+00:00,2024-10-18 19:07:51.389999866+02:00
1729271285.79,4455,3094901600000.0,2024-10-18 17:08:05.789999962+00:00,2024-10-18 19:08:05.789999962+02:00
1729271300.1899998,4455,3089454600000.0,2024-10-18 17:08:20.189999819+00:00,2024-10-18 19:08:20.189999819+02:00
1729271314.59,4455,3071270000000.0,2024-10-18 17:08:34.589999914+00:00,2024-10-18 19:08:34.589999914+02:00
1729271328.99,4455,3110404600000.0,2024-10-18 17:08:48.990000010+00:00,2024-10-18 19:08:48.990000010+02:00
1729271343.3899999,4455,3075124800000.0,2024-10-18 17:09:03.389999866+00:00,2024-10-18 19:09:03.389999866+02:00
1729271357.79,4455,3068588400000.0,2024-10-18 17:09:17.789999962+00:00,2024-10-18 19:09:17.789999962+02:00
1729271372.1899998,4455,3084426600000.0,2024-10-18 17:09:32.189999819+00:00,2024-10-18 19:09:32.189999819+02:00
1729271386.59,4455,3079566200000.0,2024-10-18 17:09:46.589999914+00:00,2024-10-18 19:09:46.589999914+02:00
1729271400.99,4455,3093477000000.0,2024-10-18 17:10:00.990000010+00:00,2024-10-18 19:10:00.990000010+02:00
1729271415.3899999,4455,3125488600000.0,2024-10-18 17:10:15.389999866+00:00,2024-10-18 19:10:15.389999866+02:00
1729271429.79,4455,3103449200000.0,2024-10-18 17:10:29.789999962+00:00,2024-10-18 19:10:29.789999962+02:00
1729271444.1899998,4455,3060292200000.0,2024-10-18 17:10:44.189999819+00:00,2024-10-18 19:10:44.189999819+02:00
1729271458.59,4455,3114762200000.0,2024-10-18 17:10:58.589999914+00:00,2024-10-18 19:10:58.589999914+02:00
1729271472.99,4455,3112834800000.0,2024-10-18 17:11:12.990000010+00:00,2024-10-18 19:11:12.990000010+02:00
1729271487.3899999,4455,3099510600000.0,2024-10-18 17:11:27.389999866+00:00,2024-10-18 19:11:27.389999866+02:00
1729271501.79,4455,3121047200000.0,2024-10-18 17:11:41.789999962+00:00,2024-10-18 19:11:41.789999962+02:00
1729271516.1899998,4455,3065823000000.0,2024-10-18 17:11:56.189999819+00:00,2024-10-18 19:11:56.189999819+02:00
1729271530.59,4455,3085935000000.0,2024-10-18 17:12:10.589999914+00:00,2024-10-18 19:12:10.589999914+02:00
1729271544.99,4455,3134706600000.0,2024-10-18 17:12:24.990000010+00:00,2024-10-18 19:12:24.990000010+02:00
1729271559.3899999,4455,3118114200000.0,2024-10-18 17:12:39.389999866+00:00,2024-10-18 19:12:39.389999866+02:00
